k1_1f,5.067650500304
k1_1r,75.97676912
k1_2f,0.030390707648
k1_2r,75.97676912
kcat1_1,0.891961915776
k1_3f,3.0390707648
k1_3r,75.97676912
kcat1_2,0.72007342159
k2_1f,189.964965066667
k2_1r,11397.897904
k2_2f,60222.8600023452
k2_2r,402.1392919
k2_3f,77.2919951615
k2_3r,3091.67980646
k2_4f,1411.1030972778
k2_4r,402.1392919
k3_1f,284.9474476
k3_1r,11397.897904
k3_2f,1411.1030972778
k3_2r,402.1392919
k3_3f,618.335961292
k3_3r,3091.67980646
k3_4f_1,0.3088
k3_4f_2,0.3088
k3_4f_3,0.3088
k3_4f_4,0.3088
k3_4f_5,0.3088
k3_4f_6,0.3088
k3_4f_7,0.3088
k3_4f_8,0.3088
k3_4f_9,0.3088
k3_4r_1,463.749699178466
k3_4r_2,463.749699178466
k3_4r_3,463.749699178466
k3_4r_4,463.749699178466
k3_4r_5,463.749699178466
k3_4r_6,88.2237521856681
k3_4r_7,103.500036667435
k3_4r_8,26.9068002300706
k3_4r_9,13.7764699969326
k3_5f_1,1.552
k3_5f_2,1.552
k3_5f_3,1.552
k3_5f_4,1.552
k3_5f_5,1.552
k3_5f_6,1.552
k3_5f_7,1.552
k3_5f_8,1.552
k3_5f_9,1.552
k3_5r_1,12.7263016528398
k3_5r_2,12.7263016528398
k3_5r_3,12.7263016528398
k3_5r_4,12.7263016528398
k3_5r_5,12.7263016528398
k3_5r_6,16.1834254224959
k3_5r_7,4.05929773886526
k3_5r_8,4.56146781675932
k3_5r_9,1.34897722209443
kcat3,14.54083748114
k4_1f_1,60.24957791216
k4_1f_2,60.24957791216
k4_1f_3,60.24957791216
k4_1f_4,60.24957791216
k4_1f_5,60.24957791216
k4_1f_6,60.24957791216
k4_1f_7,60.24957791216
k4_1f_8,60.24957791216
k4_1f_9,60.24957791216
k4_1r_1,602.4957791216
k4_1r_2,602.4957791216
k4_1r_3,602.4957791216
k4_1r_4,602.4957791216
k4_1r_5,602.4957791216
k4_1r_6,602.4957791216
k4_1r_7,602.4957791216
k4_1r_8,602.4957791216
k4_1r_9,602.4957791216
k4_2f_1,9.69821111708235
k4_2f_2,9.69821111708235
k4_2f_3,9.69821111708235
k4_2f_4,9.69821111708235
k4_2f_5,9.69821111708235
k4_2f_6,9.69821111708235
k4_2f_7,9.69821111708235
k4_2f_8,9.69821111708235
k4_2f_9,9.69821111708235
k4_2r_1,164.8695889904
k4_2r_2,164.8695889904
k4_2r_3,164.8695889904
k4_2r_4,164.8695889904
k4_2r_5,164.8695889904
k4_2r_6,164.8695889904
k4_2r_7,164.8695889904
k4_2r_8,164.8695889904
k4_2r_9,164.8695889904
kcat4_1,52.4422997656
kcat4_2,52.4422997656
kcat4_3,52.4422997656
kcat4_4,52.4422997656
kcat4_5,52.4422997656
kcat4_6,52.4422997656
kcat4_7,52.4422997656
kcat4_8,52.4422997656
kcat4_9,52.4422997656
k5_1f_1,1.3807828077946
k5_1f_2,2.9440998034
k5_1f_3,0.8714535418064
k5_1f_4,1.0952051268648
k5_1f_5,0.58881996068
k5_1f_6,0.16221989916734
k5_1f_7,0.309130479357
k5_1f_8,0.309130479357
k5_1f_9,0.309130479357
k5_1r_1,164.8695889904
k5_1r_2,164.8695889904
k5_1r_3,164.8695889904
k5_1r_4,164.8695889904
k5_1r_5,164.8695889904
k5_1r_6,164.8695889904
k5_1r_7,164.8695889904
k5_1r_8,164.8695889904
k5_1r_9,164.8695889904
kcat5_1,592.973601904
kcat5_2,592.973601904
kcat5_3,592.973601904
kcat5_4,592.973601904
kcat5_5,592.973601904
kcat5_6,592.973601904
kcat5_7,592.973601904
kcat5_8,592.973601904
kcat5_9,592.973601904
k5_2r_1,2376.25450763
k5_2r_2,2376.25450763
k5_2r_3,2376.25450763
k5_2r_4,2376.25450763
k5_2r_5,2376.25450763
k5_2r_6,2376.25450763
k5_2r_7,2376.25450763
k5_2r_8,2376.25450763
k5_2r_9,2376.25450763
k6_1f_1,30.12478895608
k6_1f_2,30.12478895608
k6_1f_3,30.12478895608
k6_1f_4,30.12478895608
k6_1f_5,30.12478895608
k6_1f_6,30.12478895608
k6_1f_7,30.12478895608
k6_1f_8,30.12478895608
k6_1f_9,30.12478895608
k6_1r_1,602.4957791216
k6_1r_2,602.4957791216
k6_1r_3,602.4957791216
k6_1r_4,602.4957791216
k6_1r_5,602.4957791216
k6_1r_6,602.4957791216
k6_1r_7,602.4957791216
k6_1r_8,602.4957791216
k6_1r_9,602.4957791216
k6_2f_1,8.24347944952
k6_2f_2,8.24347944952
k6_2f_3,8.24347944952
k6_2f_4,8.24347944952
k6_2f_5,8.24347944952
k6_2f_6,8.24347944952
k6_2f_7,8.24347944952
k6_2f_8,8.24347944952
k6_2f_9,8.24347944952
k6_2r_1,164.8695889904
k6_2r_2,164.8695889904
k6_2r_3,164.8695889904
k6_2r_4,164.8695889904
k6_2r_5,164.8695889904
k6_2r_6,164.8695889904
k6_2r_7,164.8695889904
k6_2r_8,164.8695889904
k6_2r_9,164.8695889904
kcat6_1,355.54101536
kcat6_2,355.54101536
kcat6_3,355.54101536
kcat6_4,355.54101536
kcat6_5,355.54101536
kcat6_6,355.54101536
kcat6_7,355.54101536
kcat6_8,355.54101536
kcat6_9,355.54101536
