genotype,substrate,batch,mu,mu_error,log2_PL_flux_norm,LPA_160_mean,LPA_160_std,LPA_181_mean,LPA_181_std,PA_160_160_mean,PA_160_160_std,PA_160_161_mean,PA_160_161_std,PA_160_181_mean,PA_160_181_std,PA_181_161_mean,PA_181_161_std,PA_181_181_mean,PA_181_181_std
NCM3722_1,acetate,47_48_49,0.44322528150822,0.0171900152360857,-0.53865502488306,-0.690863691743156,0.0366568186292704,-1.01302356893642,0.195484855516253,,,-0.607469530849156,0.0368066655687836,-0.364821646164314,0.0228750778364054,-1.12906892606143,0.0898438821807731,-0.625116929245198,0.0832013639595685
NCM3722_1,glucose,47_48_49,0.991331621096017,0.00761052424837387,0.238304144157387,0.269646065649048,0.0371744482736897,0.0165986568858921,0.0826187713191788,,,0.296312387179268,0.0251636783156293,0.238203912320507,0.0351101989369911,0.080727212467152,0.10858005907678,0.116914959864939,0.0504181700486877
NCM3722_1,glucoseCAA,47_48_49,1.33263347211208,0.0161030137455809,0.489238631957491,0.491925749589888,0.0453788716708095,0.754643223595971,0.0469086953286925,,,0.537484829008559,0.0354791928012604,0.529353294150067,0.0192762322610501,0.643443450190413,0.0330276515966642,0.64057607963412,0.0791301429996938
NCM3722_1,glycerol,47_48_49,0.675700534598965,0.00778565544797093,-0.276432817150324,-0.341525171770127,0.0619879480726122,-0.0408698644673931,0.100791780131958,,,-0.307430579212077,0.0478339451560523,-0.432351107272744,0.0417671941689066,0.125693874561558,0.0355881035116519,-0.160622616956649,0.0308175593067325
NCM3722_1,malate,47_48_49,0.726912263279789,0.00681466218215976,-0.0940383274859663,-0.278766454621563,0.112441290721164,-0.414155064249113,0.0403989421592113,,,-0.177768152509051,0.0127865389684681,-0.0890934560576802,0.0879026336746817,-0.202684645337691,0.0280743803303409,-0.162732025599872,0.110728341996328
NCM3722_1,succinate,47_48_49,0.727729112456129,0.0196632411556769,-0.0502753636986282,0.203135036297554,0.073754880442398,0.0999640534542573,0.171974122965776,,,-0.0426552718871102,0.0451483997138764,-0.124317024207836,0.0421514958429043,-0.0590080055003594,0.0280459468021268,-0.133274630068789,0.16450204390832
NCM3722_2,acetate,20191219,0.426156120721667,0.00874195074566877,-0.701658410540027,-0.696813017541663,0.0910996856418856,-0.945456153980451,0.59279028655015,-0.116466196937667,0.448556587328441,-0.658291462867359,0.0106832500946153,-0.289409368319897,0.22772740626928,-0.798823255985762,0.0687387709212701,-0.746014072652268,0.201551088959546
NCM3722_2,glucose,20191219,1.01585662714411,0.00858116421497105,0.178365167399811,-0.367666845147639,0.0321302545942976,-0.429181913668938,0.357339630185682,0.441112408103963,0.285882844396581,0.243928810131962,0.0815758149948034,0.181844921258263,0.109638904066573,0.16041901584349,0.0991898140700936,0.146558942951781,0.351548233987486
NCM3722_2,glucoseCAA,20191219,1.4175936583208,0.00863224692929648,0.680534381394748,0.270884275507385,0.0263433047285163,0.571174963091089,0.227105001870195,0.562077244249889,0.389588924543405,0.658492321142242,0.0677822432691008,0.694005941178794,0.0982345477698396,0.736109975274554,0.0665693334433202,0.76277038432931,0.146692820054887
NCM3722_2,glycerol,20191219,0.632897976870432,0.00753274715467004,-0.252962560807688,-0.314553766653279,0.0399321019726362,0.176031173552917,0.0293522758786052,-1.9036874249514,0.409323445993379,-0.559574389176834,0.0580993093318126,-0.754510128365423,0.201881874612028,-0.282796932480481,0.00569469604842513,-0.537712743654477,0.481373213346076
NCM3722_2,malate,20191219,0.724409697146498,0.0172513401661219,-0.0436264006203428,-0.107776470563273,0.168481129417955,-0.404933400197441,0.11693024289307,-0.808088541853854,0.287058296823451,-0.321200755311682,0.0834820613713307,-0.339555345765389,0.0384829479417999,-0.380697540018517,0.0133919771910509,-0.260981539146059,0.0272657964992688
NCM3722_2,succinate,20191219,0.678084448655919,0.0113955871094714,-0.249108317810586,0.656909581757516,0.0163552862207358,0.342922975296372,0.16185810634761,-0.131527404852662,0.296611715172871,-0.0784692041202054,0.0817978636356076,-0.277846100480057,0.136947073628377,-0.135972796511642,0.109333995441085,-0.219215081442215,0.309707425046967
NCM3722_3,acetate,20200520,0.46313637133403,0.00538924256464992,-0.547072181455355,-0.52690745543385,0.0573042028399217,-0.908500838872965,0.0599791467694857,-0.624592115792132,0.323075431969739,-0.528804469283816,0.0529978154658611,-0.281753063758242,0.0311791061701909,-0.986339721729121,0.103977359876979,-0.594277811641152,0.113034509045743
NCM3722_3,glucose,20200520,0.974726718075434,0.0086635841706156,0.13253366716554,-0.356626993530433,0.0461300778798133,-0.310975554219475,0.0833434158027265,-0.230994939798078,0.436655480211781,0.158176005790283,0.0584628695816743,0.0079191160817932,0.0315905720232082,0.122097134230996,0.0415887202002774,-0.142755032668263,0.104679203312143
NCM3722_3,glucoseCAA,20200520,1.37571431639608,0.0142636888209845,0.550196834927881,0.27215676590183,0.0755592960156419,0.0833142093242049,0.174566493830362,0.569339380105002,0.189415925355587,0.622744592641164,0.0454402937657432,0.512632301608727,0.0895658961454795,0.602576913249586,0.0780980241876514,0.631556437238297,0.28408531945208
NCM3722_3,glycerol,20200520,0.612944364218899,0.0155018976086628,-0.156004854842449,-0.383119337519395,0.0157992235592888,-0.325776096114832,0.0249942891202893,0.195332669371833,0.503918380051732,-0.487893803940078,0.037465142413633,-0.546181199101787,0.038805747836656,-0.128796909829466,0.0449971750324971,-0.420053441988749,0.176779541158355
NCM3722_3,malate,20200520,0.752735261795283,0.0106562505671209,-0.0680376286683271,-0.302302232372118,0.0406163543774519,-0.285113082352837,0.0541736917088719,-0.192382457581516,0.335126644871081,-0.0779299038541915,0.0614337312554246,-0.0379634513713623,0.141275162811971,-0.0276427487418191,0.182984133678406,-0.00782808756463813,0.23634092152272
NCM3722_3,succinate,20200520,0.70244738387281,0.00936899196544456,-0.146167219472448,0.797070104730331,0.0152153800628961,0.978132003435121,0.141935450912338,-0.181287466931613,0.166120239383911,-0.0172805840062125,0.0529478666399914,0.108157892722392,0.134810744024797,-0.0223306005348034,0.0132248054534789,0.127282182051389,0.272005963765591
